identifier,distributionDate,lastUpdateTime,releaseTime,createTime,geoKeywords,keywords,title,authorName,authorAffiliation,description
ICPSR00001.v3,1984-06-19,2015-04-09T04:02:42Z,2015-04-09T04:02:42Z,2015-04-09T04:02:42Z,"United States, ","candidates, congressional elections, counties, election returns, elections, gubernatorial elections, historical data, political attitudes, political behavior, political parties, presidential elections, senatorial elections, states (USA), ","United States Historical Election Returns, 1824-1968",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"This collection of historical election data contains state files that list county-level returns for over 90 percent of all elections to the offices of president, governor, United States senator, and United States representative from 1824 through 1968. The data files include returns for all parties and candidates (as well as write-in and scattering votes if available for individual states), and for special elections as well as regularly-scheduled contests. Over 1,000 individual party names and ma
ny additional unaffiliated candidates are included."
ICPSR00002.v5,1984-06-19,2015-04-09T03:51:20Z,2015-04-09T03:51:20Z,2015-04-09T03:51:20Z,"United States, ","candidates, constituencies, elections, political attitudes, political behavior, political parties, ","Candidate Name and Constituency Totals, 1788-1990",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"This data collection provides the names of candidates, political party name and ICPSR party ID code, and the number of votes received by each candidate in the constituency for elections between 1788 and 1990. The data include county-level returns for over 90 percent of all elections to the offices of president, governor, United States representative (1824-1990), and United States senator (1912-1990). The dataset also includes returns for approximately two-thirds of all elections to the offices o
f president, governor, and United States representative for the period 1788-1823. Returns for one additional statewide office are included beginning with the 1968 elections. Also presented are 1990 data from the District of Columbia election for United States senator and United States representative. The offices of two senators and one representative were created by the ""District of Columbia Statehood Constitutional Convention Initiative,"" which was approved by District voters in 1980. Elections
for these offices were postponed until the 1990 general election. The
three offices are currently local District positions, which will turn
into federal offices if the District becomes a state."
ICPSR00003.v1,1984-07-06,2015-04-09T03:26:34Z,2015-04-09T03:26:34Z,2015-04-09T03:26:34Z,"United States, ","census data, counties, demographic characteristics, economic conditions, eighteenth century, families, historical data, marriage, national identity, nineteenth century, occupations, political change, population, population size, religion, states (USA), twentieth century, ","Historical, Demographic, Economic, and Social Data:  The United States, 1790-1970",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"Detailed county and state-level ecological or descriptive   data for the United States for the years 1790 to 1970 are contained in   this collection. These data files contain extensive information about   the social and political character of the United States, including a   breakdown of population by state, race, nationality, number of   families, size of the family, births, deaths, marriages, occupation,   religion, and general economic conditions. Though not complete over the   full time span of this study, statistics are available on such diverse   subjects as total numbers of newspapers and periodicals, total capital   invested in manufacturing, total numbers of educational institutions,   total number of churches, taxation by state, and land surface area in  square miles."
ICPSR00004.v3,1984-06-29,2015-04-09T03:41:33Z,2015-04-09T03:41:33Z,2015-04-09T03:41:33Z,,"eighteenth century, historical data, legislators, nineteenth century, political history, roll call data, roll call voting records, twentieth century, United States Congress, United States House of Representatives, United States Senate, voting behavior, ","United States Congressional Roll Call Voting Records, 1789-1998",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"Roll call voting records for both chambers of the United States Congress through the second session of the 105th Congress are presented in this data collection. Each data file in the collection contains information for one chamber of a single Congress. The units of analysis in each part are the individual members of Congress. Each record contains a member's voting action on every roll call vote taken during that Congress, along with variables that identify the member (e.g., name, party, state, district, uniform ICPSR member number, and most recent means of attaining office). In addition, the codebook provides descriptive information for each roll call, including the date of the vote, outcome in terms of nays and yeas, name of initiator, the relevant bill or resolution number, and a synopsis of the issue."
ICPSR00005.v1,1984-06-20,2015-04-09T04:21:32Z,2015-04-09T04:21:32Z,2015-04-09T04:21:32Z,"United States, ","congressional elections, demographic characteristics, election returns, national elections, political parties, presidential elections, state elections, voting behavior, ","Data Confrontation Seminar, 1969: United States Data",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"This study contains national data prepared for the   Data Confrontation Seminar on the Use of Ecological Data in   Comparative Cross-National Research held under the auspices  of the Inter-university Consortium for Political and Social   Research on April 1-18, 1969. One of the primary concerns   of this international seminar was the need for cooperation   in the development of data resources in order to facilitate   exchange of data between individual scholars and research   groups. This data collection contains returns for all   elections for 3,143 counties of 50 states of the United States   to the offices of president, senator and representative,   and governor, ecological data drawn from various United States   censuses from 1947 to 1965, and selected data from the 1952   National Council of Churches Survey of church membership. It   contains a merged set of data at the county, state, and   congressional district levels for the 1950s and 1960s. The data   are organized in three parts: (1) election returns and ecological   data in raw form, (2) percentagized party votes and ecological   data, and (3) series of derived measures and additional  computations. Data on election returns include votes for the  Democratic and Republican parties, as well as for other minor   parties for the period 1949-1968. Data on ecology provide   information on total population, urbanization, industries,   housing, and sex and age distribution. Other demographic  variables include education, religion, employment, and income."
ICPSR00006.v1,1984-06-19,2015-04-09T03:28:36Z,2015-04-09T03:28:36Z,2015-04-09T03:28:36Z,"Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, ","congressional elections (US House), congressional elections (US Senate), congressional voting, constitutional amendments, counties, election returns, gubernatorial elections, nineteenth century, political history, primaries, referendum, senatorial elections, states (USA), twentieth century, voting behavior, ",Referenda and Primary Election Materials,Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"This data collection contains election returns at the  county and state levels from the mid-nineteenth century to the late  twentieth century for primary and general elections on statewide  referenda, constitutional amendments, state House/Senate joint  resolutions, and initiated measures. The ballot language of each  measure is also included.  County-level returns for most  gubernatorial, senatorial, and congressional primary elections from 1910 to the present are documented as well."
ICPSR00007.v1,1984-05-11,2015-04-09T03:41:03Z,2015-04-09T03:41:03Z,2015-04-09T03:41:03Z,"United States, ","bank deposits, banks, counties, economic history, Great Depression (1929), ","Federal Deposit Insurance Corporation Data on Banks in the United States, 1920-1936",Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,"This data collection contains information on banks  in the United States in the period 1920-1936. Information is   provided by county and in thousands of United States dollars   on the total annual deposits in all banks, deposits in national   and state banks, number of banks suspended, and number of  national and state banks active in the period."
ICPSR00008.v1,1984-03-18,2015-04-09T03:24:40Z,2015-04-09T03:24:40Z,2015-04-09T03:24:40Z,"United States, ","census data, church membership, counties, religion, religious denominations, religious organizations, states(USA), ","Censuses of Religious Bodies, 1906-1936",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"This data collection provides county- and state-level information   on the number of members of a variety of religious organizations and groups   in the United States between 1906 and 1936.  The variables in this collection   provide the names of these groups and organizations, which include the Advent   Christian Church, Southern and National Convention Baptist churches,   Buddhist (Japanese) temples, Evangelical Association, Jewish congregations,   Greek Orthodox Church, Mennonite Church, Friends Church, Pentecostal Chur
ch   of the Nazarene, Polish National Church, Roman Catholic Church, Salvation   Army, Seventh Day Adventist, Church of Jesus Christ of Latter-Day Saints,   Russian Eastern Orthodox Church, Mennonite General Conference, Hungarian   Reformed Church, Unitarian Church, Negro Baptist Church, and Evangelical  Church."
ICPSR00009.v1,1984-05-11,2015-04-09T03:41:29Z,2015-04-09T03:41:29Z,2015-04-09T03:41:29Z,"United States, ","counties, farms, nineteenth century, property values, real estate, twentieth century, ","Farm Real Estate Values in the United States, 1850-1959","Pressley, Thomas J.",Unknown,This data collection contains information on the average  monetary value per acre of farm lands and buildings for each county  in the United States in the period 1850-1959.
ICPSR00010.v1,1984-06-20,2015-04-09T04:05:18Z,2015-04-09T04:05:18Z,2015-04-09T04:05:18Z,"United States, ","census data, congressional districts, congressional elections, demographic characteristics, election returns, political attitudes, political parties, population characteristics, vote count, voter attitudes, voting behavior, ","United States Congressional District Data Books, 1961-1965",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"This study contains selected electoral and aggregate   economic, ecological, and demographic data at the congressional  district level for districts of the 87th and 88th Congresses  in the period 1961-1965. Data are provided for the number of  votes cast for the Democratic and the Republican parties, and    the percentage of votes cast for the majority party in the   biennial elections for United States Representatives in   the period 1952-1962, as well as the total votes cast for   the office o
f president, and the number of votes cast for   each party's presidential candidate in the 1952, 1956, and   1960 election. Data are also provided for population   and housing characteristics, including total population by   household, group quarters, institutions, age group, gender,   marital status, race, nationality, and urban and rural   residency. Additional demographic variables describe the   congressional districts in terms of education, income,   employment status and occupation, veteran status, births,  deaths, and marriages."
